"","ID","age","blockcollect","bonus","condition","correctcollect","feedback","gender","keyassignment","levinstein_acc","timecollect","trialcollect","traincondition","logRT","repetition","immediaterepetition"
"1",1,40,"train",3.625,"m1",0.666666666666667,"",0,"['F', 'D', 'J', 'L', 'S', 'K']",0.666666666666667,25730,1,"m1",10.1554129052758,FALSE,FALSE
"2",1,40,"train",3.625,"m1",0.75,"",0,"['F', 'D', 'J', 'L', 'S', 'K']",0.75,10722,2,"m1",9.28005298438748,FALSE,FALSE
"3",1,40,"train",3.625,"m1",0.583333333333333,"",0,"['F', 'D', 'J', 'L', 'S', 'K']",0.666666666666667,10220,3,"m1",9.23210186375769,FALSE,FALSE
"4",1,40,"train",3.625,"m1",0.666666666666667,"",0,"['F', 'D', 'J', 'L', 'S', 'K']",0.833333333333333,11531,4,"m1",9.35279433977112,FALSE,FALSE
"5",1,40,"train",3.625,"m1",0.833333333333333,"",0,"['F', 'D', 'J', 'L', 'S', 'K']",0.833333333333333,8568,5,"m1",9.05578961212758,FALSE,FALSE
"6",1,40,"train",3.625,"m1",0.916666666666667,"",0,"['F', 'D', 'J', 'L', 'S', 'K']",0.916666666666667,10028,6,"m1",9.21313645927818,FALSE,FALSE
"7",1,40,"train",3.625,"m1",0.166666666666667,"",0,"['F', 'D', 'J', 'L', 'S', 'K']",0.416666666666667,11614,7,"m1",9.35996654593199,TRUE,FALSE
"8",1,40,"train",3.625,"m1",0.75,"",0,"['F', 'D', 'J', 'L', 'S', 'K']",0.75,9777,8,"m1",9.18778796750567,FALSE,FALSE
"9",1,40,"train",3.625,"m1",0.666666666666667,"",0,"['F', 'D', 'J', 'L', 'S', 'K']",0.75,7840,9,"m1",8.96699411334445,TRUE,FALSE
"10",1,40,"train",3.625,"m1",0.666666666666667,"",0,"['F', 'D', 'J', 'L', 'S', 'K']",0.666666666666667,8737,10,"m1",9.07532216029809,TRUE,FALSE
"11",1,40,"train",3.625,"m1",0.333333333333333,"",0,"['F', 'D', 'J', 'L', 'S', 'K']",0.583333333333333,13190,11,"m1",9.48721424571136,TRUE,FALSE
"12",1,40,"train",3.625,"m1",0.666666666666667,"",0,"['F', 'D', 'J', 'L', 'S', 'K']",0.666666666666667,9611,12,"m1",9.17066355482328,TRUE,FALSE
"13",1,40,"train",3.625,"m1",0.583333333333333,"",0,"['F', 'D', 'J', 'L', 'S', 'K']",0.583333333333333,9690,13,"m1",9.17884970488481,TRUE,FALSE
"14",1,40,"train",3.625,"m1",0.75,"",0,"['F', 'D', 'J', 'L', 'S', 'K']",0.75,7964,14,"m1",8.98268666518409,FALSE,FALSE
"15",1,40,"train",3.625,"m1",0.5,"",0,"['F', 'D', 'J', 'L', 'S', 'K']",0.5,6592,15,"m1",8.79361207158931,TRUE,TRUE
"16",1,40,"train",3.625,"m1",0.5,"",0,"['F', 'D', 'J', 'L', 'S', 'K']",0.5,5936,16,"m1",8.68879078484722,TRUE,FALSE
"17",1,40,"train",3.625,"m1",0.75,"",0,"['F', 'D', 'J', 'L', 'S', 'K']",0.75,7213,17,"m1",8.88364023250367,TRUE,FALSE
"18",1,40,"train",3.625,"m1",0.5,"",0,"['F', 'D', 'J', 'L', 'S', 'K']",0.583333333333333,11654,18,"m1",9.36340474770302,TRUE,FALSE
"19",1,40,"train",3.625,"m1",0.666666666666667,"",0,"['F', 'D', 'J', 'L', 'S', 'K']",0.75,8543,19,"m1",9.05286751315162,FALSE,FALSE
"20",1,40,"train",3.625,"m1",0.5,"",0,"['F', 'D', 'J', 'L', 'S', 'K']",0.5,6983,20,"m1",8.85123390284603,TRUE,FALSE
"21",1,40,"train",3.625,"m1",0.5,"",0,"['F', 'D', 'J', 'L', 'S', 'K']",0.666666666666667,6727,21,"m1",8.81388455802561,TRUE,FALSE
"22",1,40,"train",3.625,"m1",0.583333333333333,"",0,"['F', 'D', 'J', 'L', 'S', 'K']",0.666666666666667,8385,22,"m1",9.03419967425731,FALSE,FALSE
"23",1,40,"train",3.625,"m1",0.916666666666667,"",0,"['F', 'D', 'J', 'L', 'S', 'K']",0.916666666666667,7572,23,"m1",8.93221251232921,TRUE,FALSE
"24",1,40,"train",3.625,"m1",0.416666666666667,"",0,"['F', 'D', 'J', 'L', 'S', 'K']",0.5,12159,24,"m1",9.40582491529642,TRUE,FALSE
"25",1,40,"train",3.625,"m1",0.833333333333333,"",0,"['F', 'D', 'J', 'L', 'S', 'K']",0.833333333333333,5651,25,"m1",8.63958779962984,TRUE,FALSE
"26",1,40,"train",3.625,"m1",0.583333333333333,"",0,"['F', 'D', 'J', 'L', 'S', 'K']",0.75,5495,26,"m1",8.61159386683772,TRUE,FALSE
"27",1,40,"train",3.625,"m1",0.75,"",0,"['F', 'D', 'J', 'L', 'S', 'K']",0.75,6046,27,"m1",8.7071521753394,TRUE,FALSE
"28",1,40,"train",3.625,"m1",0.583333333333333,"",0,"['F', 'D', 'J', 'L', 'S', 'K']",0.583333333333333,8510,28,"m1",9.04899722156742,TRUE,FALSE
"29",1,40,"train",3.625,"m1",0.916666666666667,"",0,"['F', 'D', 'J', 'L', 'S', 'K']",0.916666666666667,7769,29,"m1",8.95789673495042,TRUE,FALSE
"30",1,40,"train",3.625,"m1",0.5,"",0,"['F', 'D', 'J', 'L', 'S', 'K']",0.666666666666667,5840,30,"m1",8.67248607582227,TRUE,FALSE
"31",1,40,"train",3.625,"m1",0.583333333333333,"",0,"['F', 'D', 'J', 'L', 'S', 'K']",0.583333333333333,7967,31,"m1",8.98306328938037,TRUE,FALSE
"32",1,40,"train",3.625,"m1",0.5,"",0,"['F', 'D', 'J', 'L', 'S', 'K']",0.583333333333333,5066,32,"m1",8.53030683056162,TRUE,FALSE
"33",1,40,"train",3.625,"m1",0.916666666666667,"",0,"['F', 'D', 'J', 'L', 'S', 'K']",0.916666666666667,6908,33,"m1",8.84043543926657,TRUE,FALSE
