ID,age,blockcollect,bonus,condition,correctcollect,feedback,gender,keyassignment,levinsteinacc,timecollect,trialcollect,traincondition
1.0,30.0,train,3.40625,ind,0.16666666666666666,I found the first pattern easy to get -the subsequent patterns I just could not get the hang of! ,0.0,"['F', 'S', 'D', 'L', 'K', 'J']",0.3333333333333333,22592.0,1.0,ind
1.0,30.0,train,3.40625,ind,0.5833333333333334,I found the first pattern easy to get -the subsequent patterns I just could not get the hang of! ,0.0,"['F', 'S', 'D', 'L', 'K', 'J']",0.6666666666666666,19284.0,2.0,ind
1.0,30.0,train,3.40625,ind,0.6666666666666666,I found the first pattern easy to get -the subsequent patterns I just could not get the hang of! ,0.0,"['F', 'S', 'D', 'L', 'K', 'J']",0.6666666666666666,11964.0,3.0,ind
1.0,30.0,train,3.40625,ind,0.6666666666666666,I found the first pattern easy to get -the subsequent patterns I just could not get the hang of! ,0.0,"['F', 'S', 'D', 'L', 'K', 'J']",0.6666666666666666,11005.0,4.0,ind
1.0,30.0,train,3.40625,ind,0.6666666666666666,I found the first pattern easy to get -the subsequent patterns I just could not get the hang of! ,0.0,"['F', 'S', 'D', 'L', 'K', 'J']",0.6666666666666666,12626.0,5.0,ind
1.0,30.0,train,3.40625,ind,1.0,I found the first pattern easy to get -the subsequent patterns I just could not get the hang of! ,0.0,"['F', 'S', 'D', 'L', 'K', 'J']",1.0,21085.0,6.0,ind
1.0,30.0,train,3.40625,ind,1.0,I found the first pattern easy to get -the subsequent patterns I just could not get the hang of! ,0.0,"['F', 'S', 'D', 'L', 'K', 'J']",1.0,21806.0,7.0,ind
1.0,30.0,train,3.40625,ind,1.0,I found the first pattern easy to get -the subsequent patterns I just could not get the hang of! ,0.0,"['F', 'S', 'D', 'L', 'K', 'J']",1.0,14559.0,8.0,ind
1.0,30.0,train,3.40625,ind,1.0,I found the first pattern easy to get -the subsequent patterns I just could not get the hang of! ,0.0,"['F', 'S', 'D', 'L', 'K', 'J']",1.0,12010.0,9.0,ind
1.0,30.0,train,3.40625,ind,1.0,I found the first pattern easy to get -the subsequent patterns I just could not get the hang of! ,0.0,"['F', 'S', 'D', 'L', 'K', 'J']",1.0,16141.0,10.0,ind
